event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
PCH Champs,8137,6,blue,2,Bump,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-06 17:44:54
PCH Champs,4189,6,blue,1,Lane,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,1,0,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-06 17:44:52
PCH Champs,5109,6,red,1,Bump,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-06 17:44:50
PCH Champs,4451,7,blue,2,Center,0,1,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Intake costed us 5 for contact with another robot,2023-04-06 17:54:38
PCH Champs,9293,7,blue,1,Bump,FALSE,FALSE,Quick movement and quick collection/placement from floor,FALSE,FALSE,TRUE,2,0,0,7,0,0,0,TRUE,FALSE,0,1,0,0,0,0,FALSE,FALSE,TRUE,2023-04-06 17:54:56
PCH Champs,5293,7,blue,3,Lane,0,0,0,0,0,0,FALSE,FALSE,TRUE,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-04-06 17:54:20
PCH Champs,1311,7,red,1,Bump,0,0,1,0,0,0,FALSE,FALSE,TRUE,1,0,0,2,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,,2023-04-06 17:55:18
PCH Champs,3490,7,red,2,Center,0,0,1,0,0,0,TRUE,FALSE,TRUE,0,1,0,1,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-04-06 17:55:32
PCH Champs,9260,8,blue,2,Bump,1,1,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Fumbled 2 cones from the human player station. Dropped another over at the hugh nodes and very top heavy. Arm is the only thing preventing them from falling in some cases,2023-04-06 18:02:17
PCH Champs,6919,8,blue,1,Center,1,1,0,0,0,0,TRUE,FALSE,TRUE,0,1,3,2,2,0,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Quick movement placement and collection. very accurate,2023-04-06 18:02:07
PCH Champs,8866,8,blue,3,Lane,1,0,0,0,0,0,FALSE,FALSE,TRUE,1,0,0,2,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,null,2023-04-06 18:01:33
PCH Champs,8736,8,red,1,Center,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,TRUE,Their arm broke and they went to the chargeing station and stayed there,2023-04-06 18:02:49
PCH Champs,1261,8,red,2,Lane,1,0,0,1,0,0,FALSE,FALSE,TRUE,1,0,1,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-06 18:01:38
PCH Champs,8865,8,red,3,Bump,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,Thry never moved the whole game,2023-04-06 18:01:46
PCH Champs,281,9,blue,2,Center,1,0,0,0,0,0,FALSE,FALSE,TRUE,1,0,0,4,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,Attempeted the pick up off the floor but went to wall shortly after. Play over charge station and with some sense of pace. ,2023-04-06 18:09:19
PCH Champs,4509,9,blue,1,Bump,1,0,0,0,0,1,FALSE,FALSE,TRUE,0,1,0,2,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,Unclear end game. accurate placing of cones and cubes,2023-04-06 18:09:02
PCH Champs,2415,9,blue,3,Lane,2,0,0,0,0,0,FALSE,FALSE,TRUE,1,0,0,2,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,null,2023-04-06 18:08:16
PCH Champs,4516,9,red,1,Center,1,0,0,0,0,0,TRUE,FALSE,FALSE,0,2,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,null,2023-04-06 18:08:20
PCH Champs,7538,9,red,2,Bump,1,0,0,0,0,0,FALSE,FALSE,TRUE,1,0,0,0,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,got defended easily and dropped a cone when hit,2023-04-06 18:08:52
PCH Champs,4188,10,blue,2,Center,1,0,0,0,0,0,TRUE,FALSE,FALSE,1,0,0,5,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,null,2023-04-06 18:19:03
PCH Champs,8080,10,blue,1,Bump,1,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,5,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,Only collected from floor,2023-04-06 18:20:17
PCH Champs,6829,10,blue,3,Lane,1,1,0,0,0,0,FALSE,FALSE,TRUE,1,0,0,3,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,null,2023-04-06 18:19:09
PCH Champs,7451,10,red,1,Bump,0,0,1,0,0,0,FALSE,FALSE,TRUE,0,0,3,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,null,2023-04-06 18:19:04
PCH Champs,6340,10,red,2,Center,1,0,0,0,0,0,FALSE,TRUE,TRUE,1,0,0,1,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,bad at charge station too slippy,2023-04-06 18:19:35
PCH Champs,6366,11,blue,2,Lane,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-06 18:28:12
PCH Champs,5109,11,blue,1,Bump,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,2,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,Stopped twice,2023-04-06 18:28:30
PCH Champs,6341,11,blue,3,Center,1,0,0,0,0,0,TRUE,FALSE,TRUE,0,0,1,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-06 18:27:48
PCH Champs,6023,11,red,1,Center,1,0,1,0,0,0,TRUE,FALSE,FALSE,0,0,2,0,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-06 18:29:29
