event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
Hartsville,1051,9,blue,1,Lane,0,0,0,2,0,0,null,FALSE,TRUE,2,0,0,0,0,2,null,null,null,null,TRUE,2,null,null,Slow cycle time and had trouble linning up for high cone,2023-03-24 17:34:02
Hartsville,1051,14,blue,1,Lane,0,0,0,2,0,0,FALSE,FALSE,TRUE,2,0,0,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 17:54:44
Hartsville,1051,18,red,2,Lane,0,0,0,2,0,0,null,null,TRUE,2,0,0,2,0,0,null,null,null,TRUE,null,0,null,null,can balance didnt,2023-03-24 18:03:53
Hartsville,1051,22,red,3,Lane,0,0,0,2,0,0,null,null,TRUE,2,0,0,2,0,0,null,null,null,null,TRUE,2,null,null,Can not pick up from ground,2023-03-24 18:17:14
Hartsville,1051,25,red,3,Lane,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,,2023-03-24 17:25:36
Hartsville,1051,28,red,2,Lane,0,0,0,0,0,0,null,null,TRUE,2,0,2,2,0,2,null,null,null,null,TRUE,2,null,null,null,2023-03-24 17:34:16
Hartsville,1051,33,blue,3,Lane,2,0,0,0,0,0,null,null,TRUE,2,0,2,2,0,2,null,null,null,null,TRUE,2,null,null,null,2023-03-24 18:01:26
Hartsville,1051,38,blue,3,Lane,0,0,0,2,0,0,null,null,TRUE,2,0,2,0,0,0,null,null,null,null,TRUE,2,null,null,Intake is slow and doesn't work the best,2023-03-24 17:54:12
Hartsville,1051,42,red,1,Lane,0,0,0,0,0,2,null,null,TRUE,0,0,0,2,0,2,TRUE,null,null,null,TRUE,0,null,TRUE,Stop on the bump of daeth and died,2023-03-24 17:45:54
Hartsville,1102,2,blue,2,Lane,2,0,0,0,0,0,null,null,TRUE,0,0,7,0,0,0,null,null,null,TRUE,null,2,null,null,Struggled almodt tipping over along with auto,2023-03-24 18:01:57
Hartsville,1102,7,blue,1,Lane,2,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,2,0,3,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Popped cube and trouble cordinating with human player,2023-03-24 17:26:12
Hartsville,1102,12,red,1,Lane,0,0,2,0,0,0,null,null,TRUE,0,0,6,0,0,0,TRUE,null,TRUE,null,null,2,null,null,null,2023-03-24 17:33:46
Hartsville,1102,23,red,2,Lane,0,0,0,0,0,0,null,null,TRUE,0,0,2,3,0,0,null,null,TRUE,null,null,3,null,null,Missed the cube out of auto then scored in the same area twice. One large crash,2023-03-24 17:45:44
Hartsville,1102,26,red,2,Center,0,0,2,0,0,0,TRUE,null,null,2,0,3,0,0,0,null,null,TRUE,null,null,3,null,TRUE,Claw got stuck,2023-03-24 17:53:41
Hartsville,1102,30,blue,3,Lane,2,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 18:01:06
Hartsville,1102,33,blue,2,Center,2,0,0,0,0,0,TRUE,null,null,0,2,0,2,2,0,null,null,FALSE,null,TRUE,2,null,null,move smooth and swift and also grab and place well,2023-03-24 18:16:57
Hartsville,1102,40,blue,3,Lane,0,0,0,0,0,0,null,null,TRUE,0,0,0,2,2,0,null,null,null,null,null,0,null,null,Drives well but missing the scoring points,2023-03-24 17:17:08
Hartsville,1102,44,red,3,Bump,0,0,2,0,0,0,null,null,TRUE,0,0,2,2,2,0,null,null,null,null,TRUE,2,null,null,null,2023-03-24 17:08:23
