team.number,match.number,team.alliance,initials,team.present,starting.position,amp.completed.auto,amp.attempted.auto,subwoofer.completed.auto,subwoofer.attempted.auto,podium.completed.auto,podium.attempted.auto,medium.completed.teleop,medium.attempted.teleop,midfield.completed.auto,midfield.attempted.auto,amp.completed.teleop,amp.attempted.teleop,subwoofer.completed.teleop,subwoofer.attempted.teleop,podium.completed.teleop,podium.attempted.teleop,midfield.completed.teleop,midfield.attempted.teleop,coopertition,disabled,location.end,score.trap.end,high.note.attempt.end,high.note.score.end,summary.end,timestamp
801,77,blue,JB,true,"Touching Subwoofer, Centered",0,0,2,0,1,0,0,0,0,0,3,0,1,0,3,3,0,0,true,null,Parked at Podium,null,true,null,null,2024-04-19 15:58:30.590182
801,95,blue,JB,true,"Touching Subwoofer, Centered",0,0,1,0,1,0,0,1,0,0,2,0,1,0,2,5,0,0,true,null,Climbed from Human Player Side,false,true,null,Inconsistent,2024-04-19 14:45:37.769433
1706,94,blue,JB,true,"Touching Subwoofer, Facing AMP",0,0,1,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,true,null,Climbed from Center Side,true,true,true,null,2024-04-19 14:37:44.618749
1701,93,blue,JB,true,"Touching Subwoofer, Facing AMP",0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,true,null,Climbed from Center Side,null,true,null,Shot accuracy off,2024-04-19 14:31:22.930825
4020,91,red,JB,true,"Touching Subwoofer, Centered",0,0,1,0,2,0,0,0,0,0,2,0,4,0,0,0,0,0,true,null,Climbed from Human Player Side,true,true,true,Clunky movement while waiting,2024-04-19 14:15:59.293925
2851,73,red,NL,true,"Touching Subwoofer, Facing Human Player",0,0,0,1,0,0,0,1,0,0,5,0,2,0,0,0,0,0,true,null,Climbed from Human Player Side,null,true,null,null,2024-04-19 11:50:24.974167
4112,65,red,NL,true,"Touching Subwoofer, Facing AMP",0,0,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,true,null,Parked at Podium,null,true,null,null,2024-04-19 09:16:39.711027
